ISL95837HRZ-T
Pin,Name,Side
1,VWG,left
2,PGOODG,left
3,SDA,left
4,ALERT#,left
5,SCLK,left
6,VR_ON,left
7,PGOOD,left
8,VR_HOT#,left
9,NTC,right
10,VW,left
11,COMP,left
12,FB,left
13,NC,bottom
14,NC,bottom
15,NC,bottom
16,RTN,left
17,ISUMN,right
18,ISUMP,right
19,VDD,top
20,VIN,top
21,BOOT,right
22,UGATE,right
23,PHASE,right
24,LGATE,right
25,NC,bottom
26,VCCP,top
27,TGND,bottom
28,NC,bottom
29,NC,bottom
30,NC,bottom
31,LGATEG,right
32,PHASEG,right
33,UGATEG,right
34,BOOTG,right
35,NTCG,right
36,ISUMNG,right
37,ISUMPG,right
38,RTNG,left
39,FBG,left
40,COMPG,left
