atom_A
Pin,Name,Side
BJ21,HDA_CLK,right
BF20,HDA_LPE_RCOMP,right
AM32,HDA_LPE_V1P5V1P8_S3,right
BG22,HDA_RST#,right
BG19,HDA_SDI[0],right
BG21,HDA_SDI[1],right
BG20,HDA_SDO,right
BH20,HDA_SYNC,right
AF42,ICLK_DRAM_TERM[0],right
AH42,ICLK_DRAM_TERM[1],right
AD14,ICLK_ICOMP,right
AH12,ICLK_OSCIN,right
AH10,ICLK_OSCOUT,right
AD13,ICLK_RCOMP,right
F10,ICLK_USB_TERM[0],right
D10,ICLK_USB_TERM[1],right
AJ19,ICLK_V1P35_S3_F1,right
AG18,ICLK_V1P35_S3_F2,right
BH12,ILB_8254_SPKR,right
BH16,ILB_LPC_AD[0],right
BJ17,ILB_LPC_AD[1],right
BJ13,ILB_LPC_AD[2],right
BG14,ILB_LPC_AD[3],right
BG15,ILB_LPC_CLK[0],right
BH14,ILB_LPC_CLK[1],right
BG16,ILB_LPC_CLKRUN#,right
BG17,ILB_LPC_FRAME#,right
BG13,ILB_LPC_SERIRQ,right
B8,ILB_RTC_EXTPAD,right
C12,ILB_RTC_RST#,right
C11,ILB_RTC_TEST#,right
C9,ILB_RTC_X1,right
A9,ILB_RTC_X2,right
BF18,LPC_RCOMP,right
AM27,LPC_V1P8V3P3_S3,right
BF28,LPE_I2S2_CLK,right
BD28,LPE_I2S2_DATAIN,right
BC30,LPE_I2S2_DATAOUT,right
BA30,LPE_I2S2_FRM,right
AD16,MIPI_V1P24_S3,right
AD18,MIPI_V1P24_S3,right
U38,MIPI_V1P8_S3,right
AT22,MMC1_CLK,right
AV26,MMC1_CMD,right
AV20,MMC1_D[0],right
AU22,MMC1_D[1],right
AV22,MMC1_D[2],right
AT20,MMC1_D[3],right
AY24,MMC1_D[4],right
AU26,MMC1_D[5],right
AT26,MMC1_D[6],right
AU20,MMC1_D[7],right
AY18,MMC1_RCOMP,right
BA24,MMC1_RST#,right
BG11,PCU_SMB_ALERT#,right
BH10,PCU_SMB_CLK,right
BG12,PCU_SMB_DATA,right
C22,PCU_SPI_CLK,right
C23,PCU_SPI_CS[0]#,right
C21,PCU_SPI_CS[1]#,right
B22,PCU_SPI_MISO,right
A21,PCU_SPI_MOSI,right
V25,PCU_V1P8_G3,right
N22,PCU_V3P3_G3,right
D20,PMC_ACPRESENT,left
K26,PMC_BATLOW#,left
B7,PMC_CORE_PWROK,left
BH7,PMC_PLT_CLK[0],left
BH5,PMC_PLT_CLK[1],left
BH4,PMC_PLT_CLK[2],left
BH8,PMC_PLT_CLK[3],left
BH6,PMC_PLT_CLK[4],left
BJ9,PMC_PLT_CLK[5],left
F20,PMC_PLTRST#,left
B10,PMC_RSMRST#,left
BG9,PMC_RSTBTN#,left
D22,PMC_SLP_S3#,left
F22,PMC_SLP_S4#,left
G18,PMC_SUS_STAT#,left
G24,PMC_SUSCLK[0],left
D26,PMC_SUSPWRDNACK,left
U25,PMC_V1P8_G3,left
F26,PMC_WAKE_PCIE[0]#,left
C24,PROCHOT#,left
P22,RTC_VCC,left
BA12,SATA_GP[0],left
AY14,SATA_GP[1],left
AY12,SATA_LED#,left
AT18,SATA_RCOMP_N,left
AU18,SATA_RCOMP_P,left
AV16,SATA_RXN[0],left
BA16,SATA_RXN[1],left
AU16,SATA_RXP[0],left
AY16,SATA_RXP[1],left
BG7,SATA_TXN[0],left
BF10,SATA_TXN[1],left
BF6,SATA_TXP[0],left
BD10,SATA_TXP[1],left
AN19,SATA_V1P0_S3,left
BA18,SD2_CLK,left
BC18,SD2_CMD,left
AY20,SD2_D[0],left
BD20,SD2_D[1],left
BA20,SD2_D[2],left
BD18,SD2_D[3]_CD#,left
BF22,SD3_1P8EN,left
BC24,SD3_CD#,left
AY26,SD3_CLK,left
AV28,SD3_CMD,left
AT28,SD3_D[0],left
BD26,SD3_D[1],left
AU28,SD3_D[2],left
BA26,SD3_D[3],left
BD22,SD3_PWREN#,left
BF26,SD3_RCOMP,left
AN27,SD3_V1P8V3P3_S3,left
BD5,SD3_WP,left
B24,SVID_ALERT#,left
C25,SVID_CLK,left
A25,SVID_DATA,left
V32,SVID_V1P0_S3,left
D18,TAP_PRDY#,left
F16,TAP_PREQ#,left
D14,TAP_TCK,left
F12,TAP_TDI,left
G16,TAP_TDO,left
F14,TAP_TMS,left
G12,TAP_TRST#,left
AF30,TP_CORE_V1P05_S4,left
AA22,TP2_CORE_VCC_S3,left
AY2,VGA_BLUE,right
BC1,VGA_DDCCLK,right
BC2,VGA_DDCDATA,right
BA1,VGA_GREEN,right
BD2,VGA_HSYNC,right
AW1,VGA_IREF,right
AY3,VGA_IRTN,right
BA3,VGA_RED,right
BJ6,VGA_V1P0_S3,right
BD1,VGA_V1P35_S3_F1,right
AN24,VGA_V3P3_S3,right
BF2,VGA_VSYNC,right
