atom_A
Pin,Name
U33,CORE_V1P05_S3
U35,CORE_V1P05_S3
V33,CORE_V1P05_S3
Y32,CORE_V1P05_S3
AA33,CORE_V1P05_S3
AC32,CORE_V1P05_S3
AF33,CORE_V1P05_S3
AG33,CORE_V1P05_S3
AG35,CORE_V1P05_S3
P26,CORE_VCC_S3
P27,CORE_VCC_S3
U27,CORE_VCC_S3
U29,CORE_VCC_S3
V27,CORE_VCC_S3
V29,CORE_VCC_S3
V30,CORE_VCC_S3
Y27,CORE_VCC_S3
Y29,CORE_VCC_S3
Y30,CORE_VCC_S3
AA27,CORE_VCC_S3
AA29,CORE_VCC_S3
AA30,CORE_VCC_S3
AC27,CORE_VCC_S3
AC29,CORE_VCC_S3
AC30,CORE_VCC_S3
AD27,CORE_VCC_S3
AD29,CORE_VCC_S3
AD30,CORE_VCC_S3
AF27,CORE_VCC_S3
AF29,CORE_VCC_S3
AG27,CORE_VCC_S3
AG29,CORE_VCC_S3
AG30,CORE_VCC_S3
P28,CORE_VCC_SENSE
N28,CORE_VSS_SENSE
AK13,DDI_RCOMP_N
AK12,DDI_RCOMP_P
AJ18,DDI_V1P0_S3
AK19,DDI_V1P0_S3
AK21,DDI_V1P0_S3
AM16,DDI_V1P0_S3
AL1,DDI0_AUXN
AL3,DDI0_AUXP
B26,DDI0_BKLTCTL
C27,DDI0_BKLTEN
C28,DDI0_DDCCLK
C26,DDI0_DDCDATA
D27,DDI0_HPD
AV2,DDI0_TXN[0]
AT3,DDI0_TXN[1]
AR1,DDI0_TXN[2]
AP2,DDI0_TXN[3]
AV3,DDI0_TXP[0]
AT2,DDI0_TXP[1]
AR3,DDI0_TXP[2]
AP3,DDI0_TXP[3]
B28,DDI0_VDDEN
AK2,DDI1_AUXN
AK3,DDI1_AUXP
M30,DDI1_BKLTCTL
G30,DDI1_DDCCLK
P30,DDI1_DDCDATA
K30,DDI1_HPD
AG1,DDI1_TXN[0]
AF2,DDI1_TXN[1]
AD2,DDI1_TXN[2]
AC1,DDI1_TXN[3]
AG3,DDI1_TXP[0]
AF3,DDI1_TXP[1]
AD3,DDI1_TXP[2]
AC3,DDI1_TXP[3]
N30,DDI1_VDDEN
AB42,DRAM_CORE_PWROK
AD44,DRAM_RCOMP[0]
AF45,DRAM_RCOMP[1]
AD45,DRAM_RCOMP[2]
Y35,DRAM_V1P0_S3
Y36,DRAM_V1P0_S3
AA36,DRAM_V1P0_S3
AD35,DRAM_V1P0_S3
AF35,DRAM_V1P0_S3
AF36,DRAM_V1P0_S3
AJ36,DRAM_V1P0_S3
AK35,DRAM_V1P0_S3
AK36,DRAM_V1P0_S3
AD36,DRAM_V1P35_S3_F1
A48,DRAM_VDD_S4
C51,DRAM_VDD_S4
D44,DRAM_VDD_S4
F49,DRAM_VDD_S4
F52,DRAM_VDD_S4
F53,DRAM_VDD_S4
M41,DRAM_VDD_S4
M42,DRAM_VDD_S4
V38,DRAM_VDD_S4
Y38,DRAM_VDD_S4
AD38,DRAM_VDD_S4
AF38,DRAM_VDD_S4
AK38,DRAM_VDD_S4
AM38,DRAM_VDD_S4
AV41,DRAM_VDD_S4
AV42,DRAM_VDD_S4
BB46,DRAM_VDD_S4
BD49,DRAM_VDD_S4
BD52,DRAM_VDD_S4
BD53,DRAM_VDD_S4
BF44,DRAM_VDD_S4
BG51,DRAM_VDD_S4
BJ48,DRAM_VDD_S4
AD42,DRAM_VDD_S4_PWROK
AF44,DRAM_VREF
K47,DRAM0_BS[0]
K44,DRAM0_BS[1]
D52,DRAM0_BS[2]
M44,DRAM0_CAS#
C47,DRAM0_CKE[0]
F44,DRAM0_CKE[2]
M48,DRAM0_CKN[0]
P48,DRAM0_CKN[2]
M50,DRAM0_CKP[0]
P50,DRAM0_CKP[2]
P44,DRAM0_CS[0]#
P45,DRAM0_CS[2]#
G36,DRAM0_DM[0]
B36,DRAM0_DM[1]
F38,DRAM0_DM[2]
B42,DRAM0_DM[3]
P51,DRAM0_DM[4]
