atom_B
Pin,Name
A3,VSS
A5,VSS
A6,VSS
A11,VSS
A15,VSS
A19,VSS
A23,VSS
A27,VSS
A31,VSS
A35,VSS
A39,VSS
A43,VSS
A47,VSS
A49,VSS
A51,VSS
A52,VSS
B2,VSS
B52,VSS
B53,VSS
C1,VSS
C14,VSS
C31,VSS
C34,VSS
C39,VSS
C42,VSS
C45,VSS
C49,VSS
C53,VSS
D12,VSS
D16,VSS
D24,VSS
D30,VSS
D36,VSS
D38,VSS
E1,VSS
E8,VSS
E19,VSS
E35,VSS
E53,VSS
F2,VSS
F5,VSS
F7,VSS
F19,VSS
F24,VSS
F27,VSS
F30,VSS
F35,VSS
G10,VSS
G20,VSS
G22,VSS
G26,VSS
G28,VSS
G32,VSS
G34,VSS
G42,VSS
J35,VSS
J40,VSS
J53,VSS
K4,VSS
K9,VSS
K14,VSS
K22,VSS
K32,VSS
K36,VSS
K50,VSS
L13,VSS
L19,VSS
L27,VSS
L35,VSS
M19,VSS
M26,VSS
M27,VSS
M28,VSS
M34,VSS
M35,VSS
M38,VSS
M47,VSS
M51,VSS
N1,VSS
N16,VSS
N38,VSS
N51,VSS
P4,VSS
P9,VSS
P13,VSS
P16,VSS
P19,VSS
P20,VSS
P24,VSS
P32,VSS
P35,VSS
P38,VSS
P47,VSS
P52,VSS
T40,VSS
U1,VSS
U3,VSS
U5,VSS
U6,VSS
U8,VSS
U9,VSS
U11,VSS
U12,VSS
U14,VSS
U21,VSS
U30,VSS
U32,VSS
U40,VSS
U42,VSS
U43,VSS
U45,VSS
U46,VSS
U48,VSS
U49,VSS
U51,VSS
U53,VSS
V7,VSS
V12,VSS
V16,VSS
V19,VSS
V21,VSS
V35,VSS
V40,VSS
V44,VSS
V51,VSS
Y7,VSS
Y9,VSS
Y10,VSS
Y14,VSS
Y16,VSS
Y21,VSS
Y25,VSS
Y33,VSS
Y41,VSS
Y44,VSS
AA1,VSS
AA3,VSS
AA16,VSS
AA19,VSS
AA21,VSS
AA32,VSS
AA35,VSS
AA38,VSS
AA53,VSS
AB4,VSS
AB6,VSS
AB10,VSS
AB41,VSS
AB45,VSS
AB47,VSS
AB48,VSS
AB50,VSS
AB51,VSS
AC16,VSS
AC18,VSS
AC19,VSS
AC21,VSS
AC25,VSS
AC33,VSS
AC35,VSS
AC36,VSS
AC38,VSS
AD7,VSS
AD19,VSS
AD21,VSS
AD25,VSS
AD32,VSS
AD33,VSS
AD47,VSS
AE1,VSS
AE3,VSS
AE4,VSS
AE6,VSS
AE8,VSS
AE9,VSS
AE11,VSS
AE12,VSS
AE14,VSS
AE40,VSS
AE42,VSS
AE43,VSS
AE45,VSS
AE46,VSS
AE48,VSS
AE50,VSS
AE51,VSS
AE53,VSS
AF10,VSS
AF12,VSS
AF25,VSS
AF32,VSS
AF47,VSS
AG16,VSS
AG25,VSS
AG36,VSS
AG38,VSS
AH4,VSS
AH6,VSS
AH7,VSS
AH9,VSS
AH41,VSS
AH45,VSS
AH47,VSS
AH48,VSS
AH50,VSS
AH51,VSS
AJ1,VSS
AJ3,VSS
AJ16,VSS
AJ21,VSS
AJ25,VSS
AJ27,VSS
AJ29,VSS
AJ30,VSS
AJ32,VSS
AJ33,VSS
AJ35,VSS
AJ38,VSS
AJ53,VSS
AK10,VSS
AK14,VSS
AK16,VSS
AK33,VSS
AK41,VSS
AK44,VSS
AM7,VSS
AM12,VSS
AM19,VSS
AM24,VSS
AM25,VSS
AM29,VSS
