atom_C
Pin,Name,Side
AE48,VSS,left
AE50,VSS,left
AE51,VSS,left
AE53,VSS,left
AF10,VSS,left
AF12,VSS,left
AF25,VSS,left
AF32,VSS,left
AF47,VSS,left
AG16,VSS,left
AG25,VSS,left
AG36,VSS,left
AG38,VSS,left
AH4,VSS,left
AH6,VSS,left
AH7,VSS,left
AH9,VSS,left
AH41,VSS,left
AH45,VSS,left
AH47,VSS,left
AH48,VSS,left
AH50,VSS,left
AH51,VSS,left
AJ1,VSS,left
AJ3,VSS,left
AJ16,VSS,left
AJ21,VSS,left
AJ25,VSS,left
AJ27,VSS,left
AJ29,VSS,left
AJ30,VSS,left
AJ32,VSS,left
AJ33,VSS,left
AJ35,VSS,left
AJ38,VSS,left
AJ53,VSS,left
AK10,VSS,left
AK14,VSS,left
AK16,VSS,left
AK33,VSS,left
AK41,VSS,left
AK44,VSS,left
AM7,VSS,left
AM12,VSS,left
AM19,VSS,left
AM24,VSS,left
AM25,VSS,left
AM29,VSS,left
AM33,VSS,left
AM35,VSS,left
AM36,VSS,left
AM40,VSS,left
AM44,VSS,left
AM51,VSS,left
AN1,VSS,left
AN3,VSS,left
AN5,VSS,left
AN6,VSS,left
AN8,VSS,left
AN9,VSS,left
AN11,VSS,left
AN12,VSS,left
AN14,VSS,left
AN22,VSS,left
AN33,VSS,left
AN35,VSS,left
AN36,VSS,left
AN38,VSS,left
AN40,VSS,left
AN42,VSS,left
AN43,VSS,left
AN45,VSS,left
AN46,VSS,left
AN48,VSS,left
AN49,VSS,left
AN51,VSS,left
AN53,VSS,left
AP40,VSS,left
AT4,VSS,left
AT12,VSS,left
AT16,VSS,left
AT19,VSS,left
AT24,VSS,left
AT27,VSS,left
AT30,VSS,left
AT35,VSS,left
AT38,VSS,left
AT47,VSS,left
AT52,VSS,left
AU1,VSS,left
AU3,VSS,left
AU24,VSS,left
AU30,VSS,left
AU38,VSS,right
AU51,VSS,right
AV7,VSS,right
AV12,VSS,right
AV13,VSS,right
AV14,VSS,right
AV18,VSS,right
AV19,VSS,right
AV24,VSS,right
AV27,VSS,right
AV30,VSS,right
AV35,VSS,right
AV38,VSS,right
AV47,VSS,right
AV51,VSS,right
AW3,VSS,right
AW13,VSS,right
AW19,VSS,right
AW27,VSS,right
AW35,VSS,right
AY4,VSS,right
AY9,VSS,right
AY10,VSS,right
AY22,VSS,right
AY32,VSS,right
AY36,VSS,right
AY50,VSS,right
BA14,VSS,right
BA19,VSS,right
BA22,VSS,right
BA27,VSS,right
BA32,VSS,right
BA35,VSS,right
BA40,VSS,right
BA53,VSS,right
BB19,VSS,right
BB27,VSS,right
BB35,VSS,right
BC20,VSS,right
BC22,VSS,right
BC26,VSS,right
BC28,VSS,right
BC32,VSS,right
BC34,VSS,right
BC42,VSS,right
BD19,VSS,right
BD24,VSS,right
BD27,VSS,right
BD30,VSS,right
BD35,VSS,right
BE1,VSS,right
BE2,VSS,right
BE8,VSS,right
BE19,VSS,right
BE35,VSS,right
BE53,VSS,right
BF4,VSS,right
BF12,VSS,right
BF16,VSS,right
BF24,VSS,right
BF30,VSS,right
BF36,VSS,right
BF38,VSS,right
BG1,VSS,right
BG31,VSS,right
BG34,VSS,right
BG39,VSS,right
BG42,VSS,right
BG45,VSS,right
BG49,VSS,right
BG53,VSS,right
BH1,VSS,right
BH2,VSS,right
BH52,VSS,right
BH53,VSS,right
BJ2,VSS,right
BJ3,VSS,right
BJ5,VSS,right
BJ7,VSS,right
BJ11,VSS,right
BJ15,VSS,right
BJ19,VSS,right
BJ23,VSS,right
BJ27,VSS,right
BJ31,VSS,right
BJ35,VSS,right
BJ39,VSS,right
BJ43,VSS,right
BJ47,VSS,right
BJ49,VSS,right
BJ51,VSS,right
BJ52,VSS,right
AN16,VSSA,right
