atom_D
Pin,Name,Side
U33,CORE_V1P05_S3,right
U35,CORE_V1P05_S3,right
V33,CORE_V1P05_S3,right
Y32,CORE_V1P05_S3,right
AA33,CORE_V1P05_S3,right
AC32,CORE_V1P05_S3,right
AF33,CORE_V1P05_S3,right
AG33,CORE_V1P05_S3,right
AG35,CORE_V1P05_S3,right
P26,CORE_VCC_S3,right
P27,CORE_VCC_S3,right
U27,CORE_VCC_S3,right
U29,CORE_VCC_S3,right
V27,CORE_VCC_S3,right
V29,CORE_VCC_S3,right
V30,CORE_VCC_S3,right
Y27,CORE_VCC_S3,right
Y29,CORE_VCC_S3,right
Y30,CORE_VCC_S3,right
AA27,CORE_VCC_S3,right
AA29,CORE_VCC_S3,right
AA30,CORE_VCC_S3,right
AC27,CORE_VCC_S3,right
AC29,CORE_VCC_S3,right
AC30,CORE_VCC_S3,right
AD27,CORE_VCC_S3,right
AD29,CORE_VCC_S3,right
AD30,CORE_VCC_S3,right
AF27,CORE_VCC_S3,right
AF29,CORE_VCC_S3,right
AG27,CORE_VCC_S3,right
AG29,CORE_VCC_S3,right
AG30,CORE_VCC_S3,right
P28,CORE_VCC_SENSE,top
N28,CORE_VSS_SENSE,top
B6,UNCORE_V1P0_G3,left
C5,UNCORE_V1P0_G3,left
U22,UNCORE_V1P0_G3,left
V22,UNCORE_V1P0_G3,left
V24,UNCORE_V1P0_S3,left
Y22,UNCORE_V1P0_S3,left
Y24,UNCORE_V1P0_S3,left
AF16,UNCORE_V1P0_S3,left
AF18,UNCORE_V1P0_S3,left
AF21,UNCORE_V1P0_S3,left
AG21,UNCORE_V1P0_S3,left
AN29,UNCORE_V1P0_S3,left
AN30,UNCORE_V1P0_S3,left
AG19,UNCORE_V1P35_S3_F1,left
AG32,UNCORE_V1P35_S3_F2,left
V36,UNCORE_V1P35_S3_F3,left
U36,UNCORE_V1P35_S3_F4,left
AA25,UNCORE_V1P35_S3_F5,left
AF19,UNCORE_V1P35_S3_F6,left
U24,UNCORE_V1P8_G3,left
AM30,UNCORE_V1P8_S3,left
AN32,UNCORE_V1P8_S3,left
AA24,UNCORE_VNN_S3,left
AC22,UNCORE_VNN_S3,left
AC24,UNCORE_VNN_S3,left
AD22,UNCORE_VNN_S3,left
AD24,UNCORE_VNN_S3,left
AF22,UNCORE_VNN_S3,left
AF24,UNCORE_VNN_S3,left
AG22,UNCORE_VNN_S3,left
AG24,UNCORE_VNN_S3,left
AJ22,UNCORE_VNN_S3,left
AJ24,UNCORE_VNN_S3,left
AK22,UNCORE_VNN_S3,left
AK24,UNCORE_VNN_S3,left
AK25,UNCORE_VNN_S3,left
AK27,UNCORE_VNN_S3,left
AK29,UNCORE_VNN_S3,left
AK30,UNCORE_VNN_S3,left
AK32,UNCORE_VNN_S3,left
AM22,UNCORE_VNN_S3,left
BB8,UNCORE_VNN_SENSE,top
