atom_E
Pin,Name,Side
K16,USB_DN[0],right
G14,USB_DN[1],right
M16,USB_DP[0],right
K12,USB_DP[2],right
K10,USB_DP[3],right
A7,USB_HSIC_RCOMP,right
V18,USB_HSIC_V1P24_G3,right
B4,USB_HSIC0_DATA,right
B5,USB_HSIC0_STROBE,right
E2,USB_HSIC1_DATA,right
D2,USB_HSIC1_STROBE,right
C20,USB_OC[0]#,right
B20,USB_OC[1]#,right
M13,USB_PLL_MON,right
C7,USB_RCOMPI,right
D6,USB_RCOMPO,right
G2,USB_ULPI_CLK,right
M3,USB_ULPI_DATA[0],right
L1,USB_ULPI_DATA[1],right
K2,USB_ULPI_DATA[2],right
K3,USB_ULPI_DATA[3],right
M2,USB_ULPI_DATA[4],right
N3,USB_ULPI_DATA[5],right
P2,USB_ULPI_DATA[6],right
L3,USB_ULPI_DATA[7],right
P3,USB_ULPI_NXT,right
B12,USB_ULPI_REFCLK,right
H3,USB_ULPI_STP,right
AA18,USB_ULPI_V1P8_G3,top
M14,USB_V1P0_S3,top
U18,USB_V1P0_S3,top
U19,USB_V1P0_S3,top
N20,USB_V1P8_G3,top
N18,USB_V3P3_G3,top
P18,USB_V3P3_G3,top
U16,USB_VSSA,bottom
M12,USB3_REXT[0],left
E3,USB3_RXN[0],left
D4,USB3_RXP[0],left
K7,USB3_TXN[0],left
K6,USB3_TXP[0],left
C3,USB3_V1P0_G3,top
Y19,USB3_V1P0_G3,top
M7,USB3DEV_REXT[0],left
P12,USB3DEV_RXN[0],left
P10,USB3DEV_RXP[0],left
M6,USB3DEV_TXN[0],left
M4,USB3DEV_TXP[0],left
G1,USB3DEV_V1P0_S3,top
Y18,USB3DEV_V1P0_S3,top
