atom_F
Pin,Name,Side
AB42,DRAM_CORE_PWROK,top
AD44,DRAM_RCOMP[0],top
AF45,DRAM_RCOMP[1],top
AD45,DRAM_RCOMP[2],top
Y35,DRAM_V1P0_S3,top
Y36,DRAM_V1P0_S3,top
AA36,DRAM_V1P0_S3,top
AD35,DRAM_V1P0_S3,top
AF35,DRAM_V1P0_S3,top
AF36,DRAM_V1P0_S3,top
AJ36,DRAM_V1P0_S3,top
AK35,DRAM_V1P0_S3,top
AK36,DRAM_V1P0_S3,top
AD36,DRAM_V1P35_S3_F1,top
A48,DRAM_VDD_S4,bottom
C51,DRAM_VDD_S4,bottom
D44,DRAM_VDD_S4,bottom
F49,DRAM_VDD_S4,bottom
F52,DRAM_VDD_S4,bottom
F53,DRAM_VDD_S4,bottom
M41,DRAM_VDD_S4,bottom
M42,DRAM_VDD_S4,bottom
V38,DRAM_VDD_S4,bottom
Y38,DRAM_VDD_S4,bottom
AD38,DRAM_VDD_S4,bottom
AF38,DRAM_VDD_S4,bottom
AK38,DRAM_VDD_S4,bottom
AM38,DRAM_VDD_S4,bottom
AV41,DRAM_VDD_S4,bottom
AV42,DRAM_VDD_S4,bottom
BB46,DRAM_VDD_S4,bottom
BD49,DRAM_VDD_S4,bottom
BD52,DRAM_VDD_S4,bottom
BD53,DRAM_VDD_S4,bottom
BF44,DRAM_VDD_S4,bottom
BG51,DRAM_VDD_S4,bottom
BJ48,DRAM_VDD_S4,bottom
AD42,DRAM_VDD_S4_PWROK,bottom
AF44,DRAM_VREF,top
K47,DRAM0_BS[0],right
K44,DRAM0_BS[1],right
D52,DRAM0_BS[2],right
M44,DRAM0_CAS#,right
C47,DRAM0_CKE[0],right
F44,DRAM0_CKE[2],right
M48,DRAM0_CKN[0],right
P48,DRAM0_CKN[2],right
M50,DRAM0_CKP[0],right
P50,DRAM0_CKP[2],right
P44,DRAM0_CS[0]#,right
P45,DRAM0_CS[2]#,right
G36,DRAM0_DM[0],right
B36,DRAM0_DM[1],right
F38,DRAM0_DM[2],right
B42,DRAM0_DM[3],right
P51,DRAM0_DM[4],right
V42,DRAM0_DM[5],right
Y50,DRAM0_DM[6],right
Y52,DRAM0_DM[7],right
M36,DRAM0_DQ[00],right
J36,DRAM0_DQ[01],right
P40,DRAM0_DQ[02],right
M40,DRAM0_DQ[03],right
P36,DRAM0_DQ[04],right
N36,DRAM0_DQ[05],right
K40,DRAM0_DQ[06],right
K42,DRAM0_DQ[07],right
B32,DRAM0_DQ[08],right
C32,DRAM0_DQ[09],right
C36,DRAM0_DQ[10],right
A37,DRAM0_DQ[11],right
C33,DRAM0_DQ[12],right
A33,DRAM0_DQ[13],right
C37,DRAM0_DQ[14],right
B38,DRAM0_DQ[15],right
F36,DRAM0_DQ[16],right
G38,DRAM0_DQ[17],right
F42,DRAM0_DQ[18],right
J42,DRAM0_DQ[19],right
G40,DRAM0_DQ[20],right
C38,DRAM0_DQ[21],right
G44,DRAM0_DQ[22],right
D42,DRAM0_DQ[23],right
A41,DRAM0_DQ[24],right
C41,DRAM0_DQ[25],right
A45,DRAM0_DQ[26],right
B46,DRAM0_DQ[27],right
C40,DRAM0_DQ[28],right
B40,DRAM0_DQ[29],right
B48,DRAM0_DQ[30],right
B47,DRAM0_DQ[31],right
K52,DRAM0_DQ[32],right
K51,DRAM0_DQ[33],right
T52,DRAM0_DQ[34],right
T51,DRAM0_DQ[35],right
L51,DRAM0_DQ[36],right
L53,DRAM0_DQ[37],right
R51,DRAM0_DQ[38],right
R53,DRAM0_DQ[39],right
T47,DRAM0_DQ[40],right
T45,DRAM0_DQ[41],right
Y40,DRAM0_DQ[42],right
V41,DRAM0_DQ[43],right
T48,DRAM0_DQ[44],right
T50,DRAM0_DQ[45],right
Y42,DRAM0_DQ[46],right
AB40,DRAM0_DQ[47],right
V45,DRAM0_DQ[48],right
V47,DRAM0_DQ[49],right
AD48,DRAM0_DQ[50],right
AD50,DRAM0_DQ[51],right
V48,DRAM0_DQ[52],right
V50,DRAM0_DQ[53],right
AB44,DRAM0_DQ[54],right
Y45,DRAM0_DQ[55],right
V52,DRAM0_DQ[56],right
W51,DRAM0_DQ[57],right
AC53,DRAM0_DQ[58],right
AC51,DRAM0_DQ[59],right
W53,DRAM0_DQ[60],right
Y51,DRAM0_DQ[61],right
AD52,DRAM0_DQ[62],right
AD51,DRAM0_DQ[63],right
K38,DRAM0_DQSN[0],right
B34,DRAM0_DQSN[1],right
F40,DRAM0_DQSN[2],right
C43,DRAM0_DQSN[3],right
M52,DRAM0_DQSN[4],right
T44,DRAM0_DQSN[5],right
Y48,DRAM0_DQSN[6],right
AA51,DRAM0_DQSN[7],right
