atom_G
Pin,Name,Side
AF6,PCIE_CLKN[0],right
AF9,PCIE_CLKN[1],right
AK4,PCIE_CLKN[2],right
AM4,PCIE_CLKN[3],right
AF4,PCIE_CLKP[0],right
AF7,PCIE_CLKP[1],right
AK6,PCIE_CLKP[2],right
AM6,PCIE_CLKP[3],right
BG3,PCIE_CLKREQ[0]#,right
BD7,PCIE_CLKREQ[1]#,right
BG5,PCIE_CLKREQ[2]#,right
BE3,PCIE_CLKREQ[3]#,right
AP13,PCIE_RCOMP_N,right
AP14,PCIE_RCOMP_P,right
AT13,PCIE_RXN[0],left
AT9,PCIE_RXN[1],left
AP10,PCIE_RXN[2],left
AP7,PCIE_RXN[3],left
AT14,PCIE_RXP[0],left
AT10,PCIE_RXP[1],left
AP12,PCIE_RXP[2],left
AP9,PCIE_RXP[3],left
AN18,PCIE_SATA_V1P0_S3,top
AY6,PCIE_TXN[0],left
AV4,PCIE_TXN[1],left
AT6,PCIE_TXN[2],left
AP4,PCIE_TXN[3],left
AY7,PCIE_TXP[0],left
AV6,PCIE_TXP[1],left
AT7,PCIE_TXP[2],left
AP6,PCIE_TXP[3],left
AK18,PCIE_V1P0_S3,top
AM18,PCIE_V1P0_S3,top
AM21,PCIE_V1P0_S3,top
AN21,PCIE_V1P0_S3,top
