atom_H
Pin,Name,Side
N26,GPIO_RCOMP,bottom
BH18,GPIO_S0_SC[014],right
BG18,GPIO_S0_SC[015],right
BD12,GPIO_S0_SC[055],right
BC12,GPIO_S0_SC[056],right
BD14,GPIO_S0_SC[057],right
BC14,GPIO_S0_SC[058],right
BF14,GPIO_S0_SC[059],right
BD16,GPIO_S0_SC[060],right
BC16,GPIO_S0_SC[061],right
BH30,GPIO_S0_SC[092],right
BG30,GPIO_S0_SC[093],right
B18,GPIO_S5[00],left
B16,GPIO_S5[01],left
C18,GPIO_S5[02],left
A17,GPIO_S5[03],left
C17,GPIO_S5[04],left
C16,GPIO_S5[05],left
B14,GPIO_S5[06],left
C15,GPIO_S5[07],left
C13,GPIO_S5[08],left
A13,GPIO_S5[09],left
C19,GPIO_S5[10],left
F18,GPIO_S5[13],left
K24,GPIO_S5[22],left
N24,GPIO_S5[23],left
M20,GPIO_S5[24],left
M18,GPIO_S5[26],left
K18,GPIO_S5[27],left
K20,GPIO_S5[28],left
M22,GPIO_S5[29],left
M24,GPIO_S5[30],left
AN25,GPIO_V1P0_S3,top
