atom_I
Pin,Name,Side
A29,RESERVED,right
B30,RESERVED,right
C29,RESERVED,right
C30,RESERVED,right
D48,RESERVED,right
E46,RESERVED,right
F1,RESERVED,right
H4,RESERVED,right
H5,RESERVED,right
H7,RESERVED,right
H8,RESERVED,right
M9,RESERVED,right
M10,RESERVED,right
N34,RESERVED,right
P6,RESERVED,right
P7,RESERVED,right
P34,RESERVED,right
R1,RESERVED,right
R3,RESERVED,right
T2,RESERVED,right
T3,RESERVED,right
V2,RESERVED,right
V3,RESERVED,right
V4,RESERVED,right
V6,RESERVED,right
W1,RESERVED,right
W3,RESERVED,right
Y2,RESERVED,right
Y3,RESERVED,right
Y4,RESERVED,right
Y6,RESERVED,right
AB2,RESERVED,left
AB3,RESERVED,left
AB7,RESERVED,left
AB9,RESERVED,left
AB14,RESERVED,left
AD4,RESERVED,left
AD6,RESERVED,left
AD9,RESERVED,left
AD10,RESERVED,left
AD12,RESERVED,left
AD40,RESERVED,left
AD41,RESERVED,left
AF13,RESERVED,left
AF14,RESERVED,left
AF40,RESERVED,left
AF41,RESERVED,left
AH13,RESERVED,left
AH14,RESERVED,left
AK7,RESERVED,left
AK9,RESERVED,left
AM9,RESERVED,left
AM10,RESERVED,left
AM13,RESERVED,left
AM14,RESERVED,left
AT34,RESERVED,left
AV9,RESERVED,left
AV10,RESERVED,left
BB3,RESERVED,left
BB4,RESERVED,left
BE46,RESERVED,left
BF48,RESERVED,left
AM3,RSVD_GND[0],bottom
AM2,RSVD_GND[1],bottom
AH3,RSVD_GND[2],bottom
AH2,RSVD_GND[3],bottom
BB10,RSVD_GND[4],bottom
BC10,RSVD_GND[5],bottom
BB5,RSVD_GND[6],bottom
BB7,RSVD_GND[7],bottom
