atom_J
Pin,Name,Side
AK13,DDI_RCOMP_N,right
AK12,DDI_RCOMP_P,right
AJ18,DDI_V1P0_S3,top
AK19,DDI_V1P0_S3,top
AK21,DDI_V1P0_S3,top
AM16,DDI_V1P0_S3,top
AL1,DDI0_AUXN,left
AL3,DDI0_AUXP,left
B26,DDI0_BKLTCTL,left
C27,DDI0_BKLTEN,left
C28,DDI0_DDCCLK,left
C26,DDI0_DDCDATA,left
D27,DDI0_HPD,left
AV2,DDI0_TXN[0],left
AT3,DDI0_TXN[1],left
AR1,DDI0_TXN[2],left
AP2,DDI0_TXN[3],left
AV3,DDI0_TXP[0],left
AT2,DDI0_TXP[1],left
AR3,DDI0_TXP[2],left
AP3,DDI0_TXP[3],left
B28,DDI0_VDDEN,left
AK2,DDI1_AUXN,right
AK3,DDI1_AUXP,right
M30,DDI1_BKLTCTL,right
G30,DDI1_DDCCLK,right
P30,DDI1_DDCDATA,right
K30,DDI1_HPD,right
AG1,DDI1_TXN[0],right
AF2,DDI1_TXN[1],right
AD2,DDI1_TXN[2],right
AC1,DDI1_TXN[3],right
AG3,DDI1_TXP[0],right
AF3,DDI1_TXP[1],right
AD3,DDI1_TXP[2],right
AC3,DDI1_TXP[3],right
N30,DDI1_VDDEN,right
