atom_K
Pin,Name,Side
BG23,SIO_I2C0_CLK,right
BH22,SIO_I2C0_DATA,right
BH24,SIO_I2C1_CLK,right
BG24,SIO_I2C1_DATA,right
BJ25,SIO_I2C2_CLK,right
BG25,SIO_I2C2_DATA,right
BH26,SIO_I2C3_CLK,right
BG26,SIO_I2C3_DATA,right
BG27,SIO_I2C4_CLK,right
BF27,SIO_I2C4_DATA,right
BG28,SIO_I2C5_CLK,right
BH28,SIO_I2C5_DATA,right
BG29,SIO_I2C6_CLK,right
BJ29,SIO_I2C6_DATA,right
AU32,SIO_PWM[0],left
AT32,SIO_PWM[1],left
AY30,SIO_SPI_CLK,left
AV32,SIO_SPI_CS#,left
BA28,SIO_SPI_MISO,left
AY28,SIO_SPI_MOSI,left
AY34,SIO_UART1_CTS#,left
BA34,SIO_UART1_RTS#,left
AU34,SIO_UART1_RXD,left
AV34,SIO_UART1_TXD,left
BF32,SIO_UART2_CTS#,left
BD32,SIO_UART2_RTS#,left
BF34,SIO_UART2_RXD,left
BD34,SIO_UART2_TXD,left
