atom_L
Pin,Name,Side
F34,MCSI_GPIO[00],right
M32,MCSI_GPIO[01],right
D28,MCSI_GPIO[02],right
K34,MCSI_GPIO[04],right
D34,MCSI_GPIO[05],right
F32,MCSI_GPIO[06],right
F28,MCSI_GPIO[07],right
K28,MCSI_GPIO[08],right
J34,MCSI_GPIO[09],right
N32,MCSI_GPIO[10],right
D32,MCSI_GPIO[11],right
P14,MCSI_RCOMP,right
T7,MCSI1_CLKN,left
T9,MCSI1_CLKP,left
AB13,MCSI1_DN[0],left
Y12,MCSI1_DN[1],left
V10,MCSI1_DN[2],left
T12,MCSI1_DN[3],left
AB12,MCSI1_DP[0],left
Y13,MCSI1_DP[1],left
V9,MCSI1_DP[2],left
T10,MCSI1_DP[3],left
V14,MCSI2_CLKN,left
V13,MCSI2_CLKP,left
T14,MCSI2_DN[0],left
T13,MCSI2_DP[0],left
T6,MCSI3_CLKN,left
T4,MCSI3_CLKP,left
