atom
Pin,Name
A3,VSS
A5,VSS
A6,VSS
A7,USB_HSIC_RCOMP
A9,ILB_RTC_X2
A11,VSS
A13,GPIO_S5[09]
A15,VSS
A17,GPIO_S5[03]
A19,VSS
A21,PCU_SPI_MOSI
A23,VSS
A25,SVID_DATA
A27,VSS
A29,RESERVED
A31,VSS
A33,DRAM0_DQ[13]
A35,VSS
A37,DRAM0_DQ[11]
A39,VSS
A41,DRAM0_DQ[24]
A43,VSS
A45,DRAM0_DQ[26]
A47,VSS
A48,DRAM_VDD_S4
A49,VSS
A51,VSS
A52,VSS
B2,VSS
B4,USB_HSIC0_DATA
B5,USB_HSIC0_STROBE
B6,UNCORE_V1P0_G3
B7,PMC_CORE_PWROK
B8,ILB_RTC_EXTPAD
B10,PMC_RSMRST#
B12,USB_ULPI_REFCLK
B14,GPIO_S5[06]
B16,GPIO_S5[01]
B18,GPIO_S5[00]
B20,USB_OC[1]#
B22,PCU_SPI_MISO
B24,SVID_ALERT#
B26,DDI0_BKLTCTL
B28,DDI0_VDDEN
B30,RESERVED
B32,DRAM0_DQ[08]
B34,DRAM0_DQSN[1]
B36,DRAM0_DM[1]
B38,DRAM0_DQ[15]
B40,DRAM0_DQ[29]
B42,DRAM0_DM[3]
B44,DRAM0_DQSP[3]
B46,DRAM0_DQ[27]
B47,DRAM0_DQ[31]
B48,DRAM0_DQ[30]
B49,DRAM0_MA[14]
B50,DRAM0_MA[15]
B52,VSS
B53,VSS
C1,VSS
C3,USB3_V1P0_G3
C5,UNCORE_V1P0_G3
C7,USB_RCOMPI
C9,ILB_RTC_X1
C11,ILB_RTC_TEST#
C12,ILB_RTC_RST#
C13,GPIO_S5[08]
C14,VSS
C15,GPIO_S5[07]
C16,GPIO_S5[05]
C17,GPIO_S5[04]
C18,GPIO_S5[02]
C19,GPIO_S5[10]
C20,USB_OC[0]#
C21,PCU_SPI_CS[1]#
C22,PCU_SPI_CLK
C23,PCU_SPI_CS[0]#
C24,PROCHOT#
C25,SVID_CLK
C26,DDI0_DDCDATA
C27,DDI0_BKLTEN
C28,DDI0_DDCCLK
C29,RESERVED
C30,RESERVED
C31,VSS
C32,DRAM0_DQ[09]
C33,DRAM0_DQ[12]
C34,VSS
C35,DRAM0_DQSP[1]
C36,DRAM0_DQ[10]
C37,DRAM0_DQ[14]
C38,DRAM0_DQ[21]
C39,VSS
C40,DRAM0_DQ[28]
C41,DRAM0_DQ[25]
C42,VSS
C43,DRAM0_DQSN[3]
C45,VSS
C47,DRAM0_CKE[0]
C49,VSS
C51,DRAM_VDD_S4
C53,VSS
D2,USB_HSIC1_STROBE
D4,USB3_RXP[0]
D6,USB_RCOMPO
D10,ICLK_USB_TERM[1]
D12,VSS
D14,TAP_TCK
D16,VSS
D18,TAP_PRDY#
D20,PMC_ACPRESENT
D22,PMC_SLP_S3#
D24,VSS
D26,PMC_SUSPWRDNACK
D27,DDI0_HPD
D28,MCSI_GPIO[02]
D30,VSS
D32,MCSI_GPIO[11]
D34,MCSI_GPIO[05]
D36,VSS
D38,VSS
D40,DRAM0_DQSP[2]
D42,DRAM0_DQ[23]
D44,DRAM_VDD_S4
D48,RESERVED
D50,DRAM0_MA[07]
D52,DRAM0_BS[2]
E1,VSS
E2,USB_HSIC1_DATA
E3,USB3_RXN[0]
E8,VSS
E19,VSS
E35,VSS
E46,RESERVED
E51,DRAM0_MA[11]
E52,DRAM0_MA[09]
E53,VSS
F1,RESERVED
F2,VSS
